"objectid","beeld","band","npixels","mean","sd","median","max","min","q05","q10","q90","q95"
"1576558","lc8x_l1tp_2015215_1042_2017096_xxxx_tct","2","29","12967.3793103448","385.676531175423","12930","13697","12325","12438.4","12509.8","13557","13614.2"
"1576558","lc8x_l1tp_2015215_1042_2017096_xxxx_tct","3","29","9948.41379310345","137.093689872859","9948","10204","9718","9727.2","9740.8","10123.4","10152.6"
"1576558","lc8x_l1tp_2015224_0543_2017096_xxxx_tct","1","31","15658.064516129","89.713222913857","15642","15789","15463","15507.5","15571","15780","15784"
"1576558","lc8x_l1tp_2015224_0543_2017096_xxxx_tct","2","31","13805.2258064516","33.2161704369216","13801","13864","13742","13754","13768","13855","13857"
"1576558","lc8x_l1tp_2015224_0543_2017096_xxxx_tct","3","31","7206.61290322581","25.360963992397","7208","7247","7132","7157.5","7180","7236","7243.5"
"1576558","lc8x_l1tp_2015240_1826_2017095_xxxx_tct","1","31","13300.1612903226","1613.82638671315","13062","15948","11541","11562.5","11591","15229","15433"
"1576558","lc8x_l1tp_2015240_1826_2017095_xxxx_tct","2","31","12153.6129032258","527.524576199653","12150","12862","11457","11502","11563","12802","12815.5"
"1576558","lc8x_l1tp_2015240_1826_2017095_xxxx_tct","3","31","10487.935483871","350.049799836525","10545","11118","9855","9889","9995","10808","10906"
"1576558","lc8x_l1tp_2015247_1510_2017094_xxxx_tct","1","29","26635.6551724138","298.737614909098","26555","27510","26268","26307","26333.4","26997.8","27247"
"1576558","lc8x_l1tp_2015247_1510_2017094_xxxx_tct","2","29","14406.1379310345","64.5095364699399","14413","14528","14310","14321.8","14326.8","14472.2","14495.2"
"1576558","lc8x_l1tp_2015247_1510_2017094_xxxx_tct","3","29","16127.8965517241","102.366758285932","16089","16450","16007","16029.4","16040","16249.4","16318"
"1576558","lc8x_l1tp_2015256_0704_2017094_xxxx_tct","1","31","14756.8064516129","189.203139395173","14779","15145","14346","14462","14508","14978","15075"
"1576558","lc8x_l1tp_2015256_0704_2017094_xxxx_tct","2","31","13059.4516129032","336.574789975886","13103","13475","12210","12397.5","12588","13432","13456"
"1576558","lc8x_l1tp_2015256_0704_2017094_xxxx_tct","3","31","9800.96774193548","224.346975890913","9782","10430","9549","9564.5","9572","10071","10256.5"
"1576558","lc8x_l1tp_2015272_1907_2017093_xxxx_tct","1","31","14009.1290322581","221.167017121373","14033","14388","13490","13566.5","13728","14234","14348"
"1576558","lc8x_l1tp_2015272_1907_2017093_xxxx_tct","2","31","13511.7741935484","536.116946799074","13601","14471","12253","12508","12843","14174","14284"
"1576558","lc8x_l1tp_2015272_1907_2017093_xxxx_tct","3","31","10077.5161290323","331.750194269498","10001","11044","9566","9663","9730","10552","10697.5"
"1576558","lc8x_l1tp_2015304_1813_2017092_xxxx_tct","1","31","14161.8064516129","176.110461425935","14172","14502","13700","13803","13993","14325","14439"
"1576558","lc8x_l1tp_2015304_1813_2017092_xxxx_tct","2","31","13278.1935483871","257.020676127407","13268","13735","12808","12896","12933","13596","13681"
"1576558","lc8x_l1tp_2015304_1813_2017092_xxxx_tct","3","31","9629.29032258065","408.187309417983","9601","10680","8988","9043","9161","10175","10289.5"
"1576558","lc8x_l1tp_2015327_1707_2017091_xxxx_tct","1","29","11293.6206896552","99.7254852773006","11278","11532","11126","11184.4","11187.4","11417.8","11503.6"
"1576558","lc8x_l1tp_2015327_1707_2017091_xxxx_tct","2","29","16725.9310344828","370.713879950802","16606","17424","16110","16334.2","16356.8","17221.4","17362.8"
"1576558","lc8x_l1tp_2015327_1707_2017091_xxxx_tct","3","29","9461.37931034483","94.5011012003501","9449","9638","9273","9316.6","9331.6","9570.8","9591.6"
"1576558","lc8x_l1tp_2015343_0432_2017091_xxxx_tct","1","29","14351.6896551724","506.425717543217","14411","15221","13477","13614.2","13682.2","14985.2","15150.8"
"1576558","lc8x_l1tp_2015343_0432_2017091_xxxx_tct","2","29","11880.9655172414","162.529004611182","11885","12153","11589","11616.6","11667.8","12091.4","12123.6"
"1576558","lc8x_l1tp_2015343_0432_2017091_xxxx_tct","3","29","9639.62068965517","532.977446172049","9572","10604","8787","8873.2","8961.4","10396.4","10517.6"
"1576558","lc8x_l1tp_2015352_2042_2017090_xxxx_tct","1","31","14459.5483870968","620.729723186599","14326","15571","13534","13554","13610","15330","15391.5"
"1576558","lc8x_l1tp_2015352_2042_2017090_xxxx_tct","2","31","11880.6774193548","42.5530156367906","11883","11975","11768","11809.5","11835","11926","11942"
"1576558","lc8x_l1tp_2015352_2042_2017090_xxxx_tct","3","31","9747.25806451613","657.968842612978","9655","11269","8704","8871.5","8936","10536","10920.5"
"1576558","lc8x_l1tp_2016042_0238_2017089_xxxx_tct","1","29","15481.5517241379","677.423616474681","15469","16631","14333","14478.2","14601.2","16394.6","16552"
"1576558","lc8x_l1tp_2016042_0238_2017089_xxxx_tct","2","29","11661.275862069","66.8254103465163","11652","11885","11559","11585.4","11599.8","11716.2","11783.2"
"1576558","lc8x_l1tp_2016042_0238_2017089_xxxx_tct","3","29","9122.13793103448","434.791635165457","9135","9943","8416","8441.4","8557","9676.2","9747.6"
"1576558","lc8x_l1tp_2016058_1323_2017088_xxxx_tct","1","29","14167","468.313158352095","14072","14905","13396","13515.8","13606.6","14804.2","14890.6"
"1576558","lc8x_l1tp_2016058_1323_2017088_xxxx_tct","2","29","11638.5172413793","215.090283484078","11631","11980","11264","11322","11348.4","11930.8","11968.4"
"1576558","lc8x_l1tp_2016058_1323_2017088_xxxx_tct","3","29","9565.8275862069","358.239950408892","9557","10147","9007","9017.2","9091","10074","10146"
"1576558","lc8x_l1tp_2016067_0918_2017087_xxxx_tct","1","31","11231.064516129","116.420770049527","11246","11403","10942","11050.5","11071","11361","11383"
"1576558","lc8x_l1tp_2016067_0918_2017087_xxxx_tct","2","31","11496.7096774194","48.4975556417621","11507","11571","11408","11418.5","11423","11554","11558.5"
"1576558","lc8x_l1tp_2016067_0918_2017087_xxxx_tct","3","31","10840.0967741935","128.686273507501","10805","11203","10667","10697","10723","11030","11074.5"
"1576558","lc8x_l1tp_2016074_1233_2017108_xxxx_tct","1","29","14348.6896551724","304.509336409561","14264","14911","13930","13984.4","14001.6","14753.2","14772.6"
"1576558","lc8x_l1tp_2016074_1233_2017108_xxxx_tct","2","29","12306.6896551724","308.327759679797","12306","12806","11807","11830.2","11841.4","12724.8","12763"
"1576558","lc8x_l1tp_2016074_1233_2017108_xxxx_tct","3","29","9874.68965517241","243.888162813596","9865","10277","9463","9496.6","9521.8","10181.6","10241.8"
"1576558","lc8x_l1tp_2016090_1548_2017086_xxxx_tct","1","29","23451.7586206897","1678.53696191425","23216","27133","20593","21161.2","21497.8","25825.2","26584.6"
