"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"876229","re1x_l3ax_2017084_1115_0000000_tct","1","38","13026.4473684211","173.531942284087","13040.5","13301","12555","12730.9","12779.1","13220","13269.05"
"876229","re1x_l3ax_2017084_1115_0000000_tct","2","38","11045.6842105263","199.737950658215","11020","11505","10706","10789.85","10824.8","11323.7","11380.3"
"876229","re1x_l3ax_2017084_1115_0000000_tct","3","38","10119.3157894737","64.9906875920251","10109.5","10224","9962","10013.1","10027.2","10195.5","10217.75"
"879844","re1x_l3ax_2017084_1115_0000000_tct","1","56","12864.4285714286","180.221465490037","12900.5","13157","12481","12550.75","12620.5","13068.5","13112.5"
"879844","re1x_l3ax_2017084_1115_0000000_tct","2","56","11507.5714285714","281.631342337839","11552.5","11978","10840","11052.5","11116","11821.5","11905"
"879844","re1x_l3ax_2017084_1115_0000000_tct","3","56","10037.3214285714","85.2058698666956","10020.5","10247","9913","9923.5","9927.5","10157.5","10164"
"879606","re1x_l3ax_2017084_1115_0000000_tct","1","182","12362.4230769231","294.586895162582","12381.5","12937","11780","11887.5","11991.5","12724.8","12784.2"
"879606","re1x_l3ax_2017084_1115_0000000_tct","2","182","10923.8296703297","252.115291084824","10873.5","11847","10419","10591.45","10627.2","11234.7","11327.4"
"879606","re1x_l3ax_2017084_1115_0000000_tct","3","182","10247.5274725275","85.6264972490738","10257","10447","9956","10109.35","10141.8","10355.6","10373.75"
"876229","re1x_l3ax_2017131_1102_0000000_tct","1","38","12847.8684210526","276.494872739973","12824.5","13327","12387","12455.5","12479.7","13300.3","13308.3"
"876229","re1x_l3ax_2017131_1102_0000000_tct","2","38","10814","169.09408863355","10777","11234","10550","10608.85","10630.9","11019","11133.9"
"876229","re1x_l3ax_2017131_1102_0000000_tct","3","38","10352.4473684211","59.2086084721804","10348.5","10479","10220","10240.85","10282.9","10429.4","10446.6"
"879844","re1x_l3ax_2017131_1102_0000000_tct","1","0","NaN",NA,NA,"-Inf","Inf",NA,NA,NA,NA
"879844","re1x_l3ax_2017131_1102_0000000_tct","2","0","NaN",NA,NA,"-Inf","Inf",NA,NA,NA,NA
"879844","re1x_l3ax_2017131_1102_0000000_tct","3","0","NaN",NA,NA,"-Inf","Inf",NA,NA,NA,NA
"879606","re1x_l3ax_2017131_1102_0000000_tct","1","182","12840.9120879121","315.177163136017","12852","13612","12049","12270.35","12462.5","13249.5","13370.4"
"879606","re1x_l3ax_2017131_1102_0000000_tct","2","182","11419.9945054945","386.976572124151","11344","12373","10679","10866.15","11005","11968","12119.25"
"879606","re1x_l3ax_2017131_1102_0000000_tct","3","182","10235.9175824176","144.796633224043","10251","10543","9856","9989.15","10030","10404","10455.9"
"876229","re1x_l3ax_2017241_1115_0000000_tct","1","0","NaN",NA,NA,"-Inf","Inf",NA,NA,NA,NA
"876229","re1x_l3ax_2017241_1115_0000000_tct","2","0","NaN",NA,NA,"-Inf","Inf",NA,NA,NA,NA
"876229","re1x_l3ax_2017241_1115_0000000_tct","3","0","NaN",NA,NA,"-Inf","Inf",NA,NA,NA,NA
"879844","re1x_l3ax_2017241_1115_0000000_tct","1","0","NaN",NA,NA,"-Inf","Inf",NA,NA,NA,NA
"879844","re1x_l3ax_2017241_1115_0000000_tct","2","0","NaN",NA,NA,"-Inf","Inf",NA,NA,NA,NA
"879844","re1x_l3ax_2017241_1115_0000000_tct","3","0","NaN",NA,NA,"-Inf","Inf",NA,NA,NA,NA
"879606","re1x_l3ax_2017241_1115_0000000_tct","1","0","NaN",NA,NA,"-Inf","Inf",NA,NA,NA,NA
"879606","re1x_l3ax_2017241_1115_0000000_tct","2","0","NaN",NA,NA,"-Inf","Inf",NA,NA,NA,NA
"879606","re1x_l3ax_2017241_1115_0000000_tct","3","0","NaN",NA,NA,"-Inf","Inf",NA,NA,NA,NA
"876229","re2x_l3ax_2017090_1124_0000000_tct","1","39","13231.0512820513","155.507310492897","13267","13451","12869","12957.8","13011.8","13404.6","13422.1"
"876229","re2x_l3ax_2017090_1124_0000000_tct","2","39","10756.4358974359","133.534697811348","10733","11021","10544","10563.8","10581.6","10943.8","11006.7"
"876229","re2x_l3ax_2017090_1124_0000000_tct","3","39","10249.9743589744","54.8939106868815","10236","10358","10139","10161.4","10188","10341.2","10343"
"879844","re2x_l3ax_2017090_1124_0000000_tct","1","56","13359.2678571429","202.221255161175","13401.5","13719","12750","12995","13088","13609","13622.75"
"879844","re2x_l3ax_2017090_1124_0000000_tct","2","56","11356.8571428571","276.546654197898","11415","11791","10596","10838.75","11003.5","11696","11714.75"
"879844","re2x_l3ax_2017090_1124_0000000_tct","3","56","9991.83928571429","138.911453390701","9967.5","10380","9806","9825","9834","10174","10244.5"
"879606","re2x_l3ax_2017090_1124_0000000_tct","1","181","15627.8397790055","86.7788489844271","15638","15805","15427","15492","15508","15732","15750"
"879606","re2x_l3ax_2017090_1124_0000000_tct","2","181","10527.7016574586","78.3190018628501","10524","10757","10354","10409","10431","10620","10659"
"879606","re2x_l3ax_2017090_1124_0000000_tct","3","181","10965.6132596685","118.579202977419","10966","11212","10780","10802","10808","11116","11132"
"876229","re2x_l3ax_2017099_1113_0000000_tct","1","38","13239.5526315789","169.985324862364","13265","13529","12773","12924.25","13021.9","13425.8","13453.35"
"876229","re2x_l3ax_2017099_1113_0000000_tct","2","38","10763.5","196.090815970836","10724","11252","10426","10477.05","10543","11079","11129.65"
"876229","re2x_l3ax_2017099_1113_0000000_tct","3","38","10241.5","71.8578739878523","10248","10376","10076","10104.25","10156.2","10344","10365.3"
