"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1750897","lc8x_l1gt_2015080_2217_2017101_xxxx_tct","1","28","20440.8214285714","351.629966865572","20488.5","20960","19656","19835.75","19994.6","20829.5","20890.9"
"1750897","lc8x_l1gt_2015080_2217_2017101_xxxx_tct","2","28","11899.25","56.3176342358761","11900","12023","11786","11808.05","11837.4","11964.2","11984.9"
"1750897","lc8x_l1gt_2015080_2217_2017101_xxxx_tct","3","28","13204.2857142857","157.547607653206","13215","13427","12893","12932.05","12976.5","13401.4","13407.65"
"1800413","lc8x_l1gt_2015080_2217_2017101_xxxx_tct","1","193","17370.4766839378","1187.44793777339","17312","20830","15249","15632.2","15849","18784.6","19800.4"
"1800413","lc8x_l1gt_2015080_2217_2017101_xxxx_tct","2","193","12201.3316062176","124.838411748658","12174","12596","11960","12040.6","12079.6","12358.8","12486.2"
"1800413","lc8x_l1gt_2015080_2217_2017101_xxxx_tct","3","193","12674.6113989637","414.575396835188","12664","13772","11705","12011.6","12115.4","13133.2","13362.6"
"1787658","lc8x_l1gt_2015080_2217_2017101_xxxx_tct","1","21","12079.0952380952","618.409080201925","11816","13355","11348","11427","11523","12934","13222"
"1787658","lc8x_l1gt_2015080_2217_2017101_xxxx_tct","2","21","11132.6666666667","93.5993233593776","11125","11272","10959","11013","11024","11254","11264"
"1787658","lc8x_l1gt_2015080_2217_2017101_xxxx_tct","3","21","10803.2857142857","292.693037644756","10922","11176","10211","10235","10367","11086","11100"
"1750897","lc8x_l1tp_2015071_0504_2017102_xxxx_tct","1","31","13890.5483870968","194.079509258393","13966","14085","13321","13510.5","13584","14075","14078.5"
"1750897","lc8x_l1tp_2015071_0504_2017102_xxxx_tct","2","31","11839.2580645161","204.855065471817","11899","12128","11322","11391","11505","12060","12085"
"1750897","lc8x_l1tp_2015071_0504_2017102_xxxx_tct","3","31","9887.06451612903","143.312231504937","9841","10335","9708","9729","9759","10067","10196"
"1800413","lc8x_l1tp_2015071_0504_2017102_xxxx_tct","1","194","13560.5","514.449846999414","13596","15122","11176","12565.4","13129.1","14030.2","14389.65"
"1800413","lc8x_l1tp_2015071_0504_2017102_xxxx_tct","2","194","11574.7164948454","297.284353045848","11561.5","12306","10477","10980.05","11232","11944.7","12054.15"
"1800413","lc8x_l1tp_2015071_0504_2017102_xxxx_tct","3","194","10097.0463917526","241.510151498997","10070.5","11263","9517","9795.25","9833.3","10326.7","10576.75"
"1787658","lc8x_l1tp_2015071_0504_2017102_xxxx_tct","1","21","13730.9523809524","327.278089121541","13745","14523","13231","13242","13247","14049","14096"
"1787658","lc8x_l1tp_2015071_0504_2017102_xxxx_tct","2","21","11147.7619047619","196.43291596927","11200","11465","10848","10917","10933","11394","11411"
"1787658","lc8x_l1tp_2015071_0504_2017102_xxxx_tct","3","21","10212.380952381","105.699799522268","10211","10415","10064","10064","10080","10329","10344"
"1750897","lc8x_l1tp_2015103_2354_2017099_xxxx_tct","1","31","16907.6451612903","45.1195067844621","16921","16985","16803","16809","16848","16943","16950.5"
"1750897","lc8x_l1tp_2015103_2354_2017099_xxxx_tct","2","31","11895.5483870968","56.2878546459639","11901","11985","11753","11781","11840","11967","11968"
"1750897","lc8x_l1tp_2015103_2354_2017099_xxxx_tct","3","31","6534.38709677419","24.0744365380305","6539","6573","6476","6496.5","6503","6562","6566"
"1800413","lc8x_l1tp_2015103_2354_2017099_xxxx_tct","1","194","17069.0773195876","100.570441382271","17065.5","17391","16815","16932","16953.6","17204.3","17269.05"
"1800413","lc8x_l1tp_2015103_2354_2017099_xxxx_tct","2","194","11767.0154639175","58.7386833377289","11772.5","11893","11603","11664.15","11688.3","11844.1","11853.7"
"1800413","lc8x_l1tp_2015103_2354_2017099_xxxx_tct","3","194","6356.68556701031","78.7949335444069","6377.5","6465","6092","6189.5","6241.6","6432","6448.4"
"1787658","lc8x_l1tp_2015103_2354_2017099_xxxx_tct","1","21","15672.8571428571","67.3789920630204","15658","15857","15582","15589","15602","15732","15783"
"1787658","lc8x_l1tp_2015103_2354_2017099_xxxx_tct","2","21","11556.9047619048","108.485439005382","11606","11670","11308","11322","11366","11649","11656"
"1787658","lc8x_l1tp_2015103_2354_2017099_xxxx_tct","3","21","7133.52380952381","68.6400896325311","7156","7213","6967","6993","7050","7199","7209"
"1750897","lc8x_l1tp_2015119_1344_2017099_xxxx_tct","1","31","22141.935483871","202.408487220583","22175","22384","21638","21793","21817","22353","22363.5"
"1750897","lc8x_l1tp_2015119_1344_2017099_xxxx_tct","2","31","13500.935483871","73.4656089536099","13515","13630","13352","13373","13388","13581","13592.5"
"1750897","lc8x_l1tp_2015119_1344_2017099_xxxx_tct","3","31","14170.5483870968","63.1072308110977","14188","14250","14012","14064.5","14088","14240","14245"
"1800413","lc8x_l1tp_2015119_1344_2017099_xxxx_tct","1","194","15781.4278350515","473.633608692808","15686.5","17111","14988","15144.45","15238.3","16498.1","16581.7"
"1800413","lc8x_l1tp_2015119_1344_2017099_xxxx_tct","2","194","12657.2164948454","104.432761103953","12663","12847","12431","12493.5","12519.6","12803","12823.7"
"1800413","lc8x_l1tp_2015119_1344_2017099_xxxx_tct","3","194","11308.6546391753","257.698299929698","11251.5","11954","10969","10997.95","11024.3","11701.4","11757.15"
"1787658","lc8x_l1tp_2015119_1344_2017099_xxxx_tct","1","21","22742.5714285714","156.749663932198","22702","23003","22480","22493","22555","22924","22987"
"1787658","lc8x_l1tp_2015119_1344_2017099_xxxx_tct","2","21","15535","54.939967236976","15524","15656","15428","15433","15485","15580","15633"
"1787658","lc8x_l1tp_2015119_1344_2017099_xxxx_tct","3","21","12736.0476190476","65.3425406534489","12721","12851","12618","12628","12657","12824","12831"
"1750897","lc8x_l1tp_2015128_0839_2017099_xxxx_tct","1","28","21736.0357142857","4401.90608951389","22853","28019","13562","14814.95","14873.7","26496.9","26989.9"
"1750897","lc8x_l1tp_2015128_0839_2017099_xxxx_tct","2","28","12644.8928571429","392.899321689574","12658","13397","11698","11999.15","12226.9","13176.3","13269.95"
"1750897","lc8x_l1tp_2015128_0839_2017099_xxxx_tct","3","28","12824.2142857143","1726.89587404347","13401.5","15031","9798","10018","10323.2","14723.9","14813.7"
"1800413","lc8x_l1tp_2015128_0839_2017099_xxxx_tct","1","193","15833.310880829","464.075668147348","15953","16475","13370","14780.2","15416.8","16230.8","16313.8"
"1800413","lc8x_l1tp_2015128_0839_2017099_xxxx_tct","2","193","13477.9222797927","531.124298041217","13659","14269","11538","12496.6","12746.8","14018.4","14078"
"1800413","lc8x_l1tp_2015128_0839_2017099_xxxx_tct","3","193","9813.46632124352","333.166203135788","9722","10834","9268","9373.6","9442.4","10261.8","10400.8"
"1787658","lc8x_l1tp_2015128_0839_2017099_xxxx_tct","1","21","15123.5714285714","200.794564525181","15186","15460","14672","14763","14812","15280","15363"
"1787658","lc8x_l1tp_2015128_0839_2017099_xxxx_tct","2","21","12943.7142857143","685.327158578816","13202","13781","11600","11843","11872","13672","13751"
"1787658","lc8x_l1tp_2015128_0839_2017099_xxxx_tct","3","21","9602.33333333333","266.815729171526","9533","10200","9265","9285","9316","9958","10008"
"1750897","lc8x_l1tp_2015135_0317_2017099_xxxx_tct","1","31","15188.6129032258","685.561603233405","15092","16748","14194","14305","14405","16025","16275.5"
"1750897","lc8x_l1tp_2015135_0317_2017099_xxxx_tct","2","31","13126.2903225806","355.035321580674","13129","13689","12477","12546","12638","13599","13657.5"
"1750897","lc8x_l1tp_2015135_0317_2017099_xxxx_tct","3","31","9797.1935483871","324.857652862998","9799","10574","9319","9407.5","9419","10250","10385.5"
"1800413","lc8x_l1tp_2015135_0317_2017099_xxxx_tct","1","194","14569.6958762887","527.626394044831","14671.5","15582","11447","13370.5","14295.9","14964.2","15123.55"
