"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1591636","lc8x_l1gt_2015080_2217_2017101_xxxx_tct","1","23","11505.9130434783","428.761950593426","11235","12461","11097","11128.5","11152","12134.6","12172.3"
"1591636","lc8x_l1gt_2015080_2217_2017101_xxxx_tct","2","23","11074.1739130435","28.9256919048432","11076","11132","11022","11032","11034.6","11115.4","11117.9"
"1591636","lc8x_l1gt_2015080_2217_2017101_xxxx_tct","3","23","11140.6086956522","53.7956902045599","11129","11277","11073","11076.1","11077.8","11218.8","11223.9"
"1591636","lc8x_l1tp_2015071_0504_2017102_xxxx_tct","1","26","13553.7692307692","275.822161211503","13582.5","14027","12903","13087.75","13163.5","13876.5","13999.75"
"1591636","lc8x_l1tp_2015071_0504_2017102_xxxx_tct","2","26","11491.0384615385","250.970353750276","11551.5","11892","10937","10997.75","11150.5","11752.5","11811.75"
"1591636","lc8x_l1tp_2015071_0504_2017102_xxxx_tct","3","26","10123.8461538462","148.850715096083","10102.5","10505","9911","9942.75","9945.5","10329.5","10370"
"1591636","lc8x_l1tp_2015103_2354_2017099_xxxx_tct","1","26","16458.6153846154","463.364226234445","16277.5","17674","15887","15975.5","16070.5","16995","17476.75"
"1591636","lc8x_l1tp_2015103_2354_2017099_xxxx_tct","2","26","11747.0384615385","79.8941703851943","11751","11891","11540","11617","11661","11842.5","11864.75"
"1591636","lc8x_l1tp_2015103_2354_2017099_xxxx_tct","3","26","6693.42307692308","319.318546041651","6835.5","6965","5860","5987.5","6303.5","6942.5","6960"
"1591636","lc8x_l1tp_2015119_1344_2017099_xxxx_tct","1","26","17288.3461538462","201.640857428784","17294.5","17584","16882","16986","17054.5","17552.5","17561.25"
"1591636","lc8x_l1tp_2015119_1344_2017099_xxxx_tct","2","26","13248.0384615385","77.3162237925421","13265.5","13348","13059","13097.5","13149.5","13333","13335.25"
"1591636","lc8x_l1tp_2015119_1344_2017099_xxxx_tct","3","26","11705.6153846154","98.7631821776018","11688.5","11890","11555","11563.25","11584","11834","11876.75"
"1591636","lc8x_l1tp_2015128_0839_2017099_xxxx_tct","1","23","12506.0869565217","470.569665699649","12417","13679","11823","11923.1","12047.8","13184.6","13305.6"
"1591636","lc8x_l1tp_2015128_0839_2017099_xxxx_tct","2","23","11895.3913043478","412.77682051844","11849","12962","11206","11348.5","11471.8","12424.2","12555.1"
"1591636","lc8x_l1tp_2015128_0839_2017099_xxxx_tct","3","23","10687.5217391304","258.260768422013","10741","11096","10047","10248.1","10330.2","10963.6","11008.1"
"1591636","lc8x_l1tp_2015135_0317_2017099_xxxx_tct","1","26","14592.0769230769","332.86789248312","14713","14964","13812","13994.75","14056","14894.5","14910.5"
"1591636","lc8x_l1tp_2015135_0317_2017099_xxxx_tct","2","26","13440.7307692308","464.663625233765","13481","14164","12500","12714.75","12738.5","13968","14054.25"
"1591636","lc8x_l1tp_2015135_0317_2017099_xxxx_tct","3","26","9380.84615384615","232.009774329909","9343","9825","9035","9083.75","9107.5","9761.5","9790.5"
