"objectid","beeld","band","npixels","mean","sd","median","max","min","q05","q10","q90","q95"
1578117,"lc8x_l1tp_2015240_1826_2017095_xxxx_tct",1,250,15813.556,1206.26976828549,16080,19343,11725,13769.15,14648,16783.1,17544.85
1578117,"lc8x_l1tp_2015240_1826_2017095_xxxx_tct",2,250,13470.46,662.30412001554,13561,14394,11668,12283.1,12533.8,14179.1,14209.3
1578117,"lc8x_l1tp_2015240_1826_2017095_xxxx_tct",3,250,9231.42,807.627237417408,9095,12316,8257,8401.7,8433.9,10422.9,10806.7
1578117,"lc8x_l1tp_2015247_1510_2017094_xxxx_tct",1,242,23469.6900826446,1695.30255045452,23413.5,28171,19374,20680.05,21241.8,25573.9,25977.1
1578117,"lc8x_l1tp_2015247_1510_2017094_xxxx_tct",2,242,13686.6570247934,190.741015494679,13650,14241,13224,13405.45,13493.8,13952,14083.55
1578117,"lc8x_l1tp_2015247_1510_2017094_xxxx_tct",3,242,13708.1652892562,685.527447502864,13676.5,15474,11794,12577.35,12829.3,14596.7,14805.95
1578117,"lc8x_l1tp_2015256_0704_2017094_xxxx_tct",1,250,13724.552,204.335359280299,13809,14005,13130,13412.3,13440.9,13954,13974.2
1578117,"lc8x_l1tp_2015256_0704_2017094_xxxx_tct",2,250,12665.724,283.696964549815,12749.5,13106,11824,12170.9,12305.2,12990.4,13023.1
1578117,"lc8x_l1tp_2015256_0704_2017094_xxxx_tct",3,250,9971.16,145.29810928656,9922,10453,9763,9801,9808,10158.2,10201.2
1578117,"lc8x_l1tp_2015272_1907_2017093_xxxx_tct",1,250,13962.3,400.7601336697,14114,14569,12699,13290.25,13414.4,14412.2,14464.15
1578117,"lc8x_l1tp_2015272_1907_2017093_xxxx_tct",2,250,13992.944,664.57323086378,14236.5,14901,12200,12783.75,13045.2,14720.4,14747.55
1578117,"lc8x_l1tp_2015272_1907_2017093_xxxx_tct",3,250,9532.54,316.69906471343,9416,10498,9114,9188,9203.8,9974,10081.15
1578117,"lc8x_l1tp_2015304_1813_2017092_xxxx_tct",1,250,14071.076,126.912162585184,14041,14385,13641,13909.9,13933,14253.1,14326.9
1578117,"lc8x_l1tp_2015304_1813_2017092_xxxx_tct",2,250,13165.256,118.3835509034,13145.5,13469,12871,13014,13033.9,13352.6,13406.05
1578117,"lc8x_l1tp_2015304_1813_2017092_xxxx_tct",3,250,9961.484,140.375034622904,9985.5,10431,9580,9682,9730.9,10101,10121.2
1578117,"lc8x_l1tp_2015327_1707_2017091_xxxx_tct",1,242,10955.4214876033,73.3518493988119,10935,11291,10826,10895.1,10903,11051,11149.55
1578117,"lc8x_l1tp_2015327_1707_2017091_xxxx_tct",2,242,15188.3016528926,360.860629752181,15129.5,16439,13975,14752.55,14826.6,15623.9,15950.9
1578117,"lc8x_l1tp_2015327_1707_2017091_xxxx_tct",3,242,9599.47933884298,185.050339643165,9619,10360,9156,9288.05,9346.5,9809.4,9890
1578117,"lc8x_l1tp_2015343_0432_2017091_xxxx_tct",1,242,14424.7024793388,228.404356609739,14404,15040,13532,14149.05,14183.1,14753.7,14865.9
1578117,"lc8x_l1tp_2015343_0432_2017091_xxxx_tct",2,242,11939.958677686,76.897344589285,11940,12075,11651,11832,11851,12030.8,12040
1578117,"lc8x_l1tp_2015343_0432_2017091_xxxx_tct",3,242,9494.86776859504,207.169862038157,9492.5,10384,9058,9159.55,9253.6,9736.8,9793.8
