"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
2,1,0,0,1.5,2015,3,"difmin",68,877219
1,1,1,0,2,2015,3,"difmin",71,1576558
1,0,0,0,1,2015,3,"difmin",73,1578117
1,0,0,0,1,2015,3,"difmin",73,1584957
1,1,0,0,1.5,2015,3,"difmin",67,1590448
0,0,0,0,0.5,2015,3,"difmin",74,1591636
0,0,0,0,0.5,2015,3,"difmin",73,1750897
1,0,0,0,1,2015,3,"difmin",75,1787658
1,0,0,0,1,2015,3,"difmin",72,1788190
2,1,1,1,2.5,2015,3,"difmin",72,1793705
0,0,0,0,0.5,2015,3,"difmin",72,1800413
