"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
1,1,0,0,1.5,2017,1,"difmax",16,865447
1,0,0,0,1,2017,1,"difmax",9,876228
1,0,0,0,1,2017,1,"difmax",9,876229
3,1,0,0,1.5,2017,1,"difmax",23,876304
1,0,0,0,1,2017,1,"difmax",68,877219
1,0,0,0,1,2017,1,"difmax",9,877724
3,2,1,0,2,2017,1,"difmax",21,879606
0,0,0,0,0.5,2017,1,"difmax",6,879844
2,2,2,1,2.5,2017,1,"difmax",71,1576558
0,0,0,0,0.5,2017,1,"difmax",73,1578117
2,2,2,2,2.5,2017,1,"difmax",73,1584957
2,1,0,0,1.5,2017,1,"difmax",67,1590448
4,2,0,0,1.5,2017,1,"difmax",74,1591636
0,0,0,0,0.5,2017,1,"difmax",73,1750897
4,3,1,1,2.5,2017,1,"difmax",75,1787658
4,2,2,2,2.5,2017,1,"difmax",72,1788190
2,2,2,0,2,2017,1,"difmax",72,1793705
1,0,0,0,1,2017,1,"difmax",72,1800413
