"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
0,0,0,0,0.5,2017,2,"max90",16,865447
1,1,0,0,1.5,2017,2,"max90",9,876228
1,1,0,0,1.5,2017,2,"max90",9,876229
2,2,1,0,2,2017,2,"max90",23,876304
1,1,0,0,1.5,2017,2,"max90",68,877219
0,0,0,0,0.5,2017,2,"max90",9,877724
3,1,0,0,1.5,2017,2,"max90",21,879606
1,0,0,0,1,2017,2,"max90",6,879844
4,3,2,1,2.5,2017,2,"max90",71,1576558
0,0,0,0,0.5,2017,2,"max90",73,1578117
1,1,1,1,2.5,2017,2,"max90",73,1584957
2,1,1,1,2.5,2017,2,"max90",67,1590448
4,2,1,0,2,2017,2,"max90",74,1591636
1,1,1,1,2.5,2017,2,"max90",73,1750897
3,2,2,1,2.5,2017,2,"max90",75,1787658
5,1,1,1,2.5,2017,2,"max90",72,1788190
0,0,0,0,0.5,2017,2,"max90",72,1793705
6,1,0,0,1.5,2017,2,"max90",72,1800413
