"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
0,0,0,0,0.5,2016,1,"difmax",16,865447
0,0,0,0,0.5,2016,1,"difmax",23,876304
1,1,1,0,2,2016,1,"difmax",68,877219
0,0,0,0,0.5,2016,1,"difmax",21,879606
2,2,1,0,2,2016,1,"difmax",71,1576558
2,2,1,1,2.5,2016,1,"difmax",73,1578117
0,0,0,0,0.5,2016,1,"difmax",73,1584957
3,2,2,1,2.5,2016,1,"difmax",67,1590448
1,1,0,0,1.5,2016,1,"difmax",74,1591636
2,2,2,1,2.5,2016,1,"difmax",73,1750897
2,1,1,0,2,2016,1,"difmax",75,1787658
1,1,0,0,1.5,2016,1,"difmax",72,1788190
4,2,2,0,2,2016,1,"difmax",72,1793705
1,1,1,1,2.5,2016,1,"difmax",72,1800413
