"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
1,0,0,0,1,2016,2,"mut_high",16,865447
0,0,0,0,0.5,2016,2,"mut_high",23,876304
2,2,2,1,2.5,2016,2,"mut_high",68,877219
0,0,0,0,0.5,2016,2,"mut_high",21,879606
2,1,1,1,2.5,2016,2,"mut_high",71,1576558
2,2,2,1,2.5,2016,2,"mut_high",73,1578117
5,3,1,1,2.5,2016,2,"mut_high",73,1584957
1,1,0,0,1.5,2016,2,"mut_high",67,1590448
2,1,1,1,2.5,2016,2,"mut_high",74,1591636
4,2,1,0,2,2016,2,"mut_high",73,1750897
2,1,1,1,2.5,2016,2,"mut_high",75,1787658
2,1,0,0,1.5,2016,2,"mut_high",72,1788190
6,3,3,1,2.5,2016,2,"mut_high",72,1793705
3,1,0,0,1.5,2016,2,"mut_high",72,1800413
