"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
0,0,0,0,0.5,2017,3,"difmax",16,865447
1,0,0,0,1,2017,3,"difmax",9,876228
1,0,0,0,1,2017,3,"difmax",9,876229
2,0,0,0,1,2017,3,"difmax",23,876304
4,4,1,1,2.5,2017,3,"difmax",68,877219
1,1,0,0,1.5,2017,3,"difmax",9,877724
1,0,0,0,1,2017,3,"difmax",21,879606
1,0,0,0,1,2017,3,"difmax",6,879844
6,3,2,1,2.5,2017,3,"difmax",71,1576558
0,0,0,0,0.5,2017,3,"difmax",73,1578117
6,2,1,1,2.5,2017,3,"difmax",73,1584957
4,3,1,0,2,2017,3,"difmax",67,1590448
3,3,2,0,2,2017,3,"difmax",74,1591636
5,1,1,1,2.5,2017,3,"difmax",73,1750897
4,2,2,2,2.5,2017,3,"difmax",75,1787658
7,4,2,2,2.5,2017,3,"difmax",72,1788190
5,1,1,0,2,2017,3,"difmax",72,1793705
4,2,2,0,2,2017,3,"difmax",72,1800413
