"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
1,1,1,1,2.5,2015,3,"mut_high",68,877219
0,0,0,0,0.5,2015,3,"mut_high",71,1576558
1,0,0,0,1,2015,3,"mut_high",73,1578117
0,0,0,0,0.5,2015,3,"mut_high",73,1584957
0,0,0,0,0.5,2015,3,"mut_high",67,1590448
1,1,0,0,1.5,2015,3,"mut_high",74,1591636
1,0,0,0,1,2015,3,"mut_high",73,1750897
0,0,0,0,0.5,2015,3,"mut_high",75,1787658
1,1,0,0,1.5,2015,3,"mut_high",72,1788190
1,1,0,0,1.5,2015,3,"mut_high",72,1793705
3,2,0,0,1.5,2015,3,"mut_high",72,1800413
