"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
0,0,0,0,0.5,2016,1,"mut_high",16,865447
1,1,1,1,2.5,2016,1,"mut_high",23,876304
1,1,1,1,2.5,2016,1,"mut_high",68,877219
0,0,0,0,0.5,2016,1,"mut_high",21,879606
3,3,3,2,2.5,2016,1,"mut_high",71,1576558
3,2,1,1,2.5,2016,1,"mut_high",73,1578117
1,1,1,1,2.5,2016,1,"mut_high",73,1584957
2,2,2,2,2.5,2016,1,"mut_high",67,1590448
3,3,3,3,2.5,2016,1,"mut_high",74,1591636
1,1,1,1,2.5,2016,1,"mut_high",73,1750897
1,1,1,1,2.5,2016,1,"mut_high",75,1787658
2,1,1,1,2.5,2016,1,"mut_high",72,1788190
5,2,2,2,2.5,2016,1,"mut_high",72,1793705
3,2,1,1,2.5,2016,1,"mut_high",72,1800413
