"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
1,0,0,0,1,2016,2,"mut_low",16,865447
0,0,0,0,0.5,2016,2,"mut_low",23,876304
1,1,0,0,1.5,2016,2,"mut_low",68,877219
1,1,1,0,2,2016,2,"mut_low",21,879606
2,1,1,1,2.5,2016,2,"mut_low",71,1576558
4,2,1,1,2.5,2016,2,"mut_low",73,1578117
0,0,0,0,0.5,2016,2,"mut_low",73,1584957
1,1,1,1,2.5,2016,2,"mut_low",67,1590448
1,0,0,0,1,2016,2,"mut_low",74,1591636
1,1,1,1,2.5,2016,2,"mut_low",73,1750897
2,1,1,1,2.5,2016,2,"mut_low",75,1787658
0,0,0,0,0.5,2016,2,"mut_low",72,1788190
1,1,1,1,2.5,2016,2,"mut_low",72,1793705
1,0,0,0,1,2016,2,"mut_low",72,1800413
