"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
1,1,1,1,2.5,2015,3,"max90",68,877219
0,0,0,0,0.5,2015,3,"max90",71,1576558
1,1,0,0,1.5,2015,3,"max90",73,1578117
4,1,0,0,1.5,2015,3,"max90",73,1584957
0,0,0,0,0.5,2015,3,"max90",67,1590448
1,1,1,1,2.5,2015,3,"max90",74,1591636
2,1,0,0,1.5,2015,3,"max90",73,1750897
0,0,0,0,0.5,2015,3,"max90",75,1787658
1,1,1,1,2.5,2015,3,"max90",72,1788190
1,1,1,0,2,2015,3,"max90",72,1793705
2,1,1,0,2,2015,3,"max90",72,1800413
