"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
0,0,0,0,0.5,2017,3,"difmin",16,865447
1,1,0,0,1.5,2017,3,"difmin",9,876228
0,0,0,0,0.5,2017,3,"difmin",9,876229
3,1,0,0,1.5,2017,3,"difmin",23,876304
1,0,0,0,1,2017,3,"difmin",68,877219
1,0,0,0,1,2017,3,"difmin",9,877724
3,0,0,0,1,2017,3,"difmin",21,879606
0,0,0,0,0.5,2017,3,"difmin",6,879844
2,1,1,1,2.5,2017,3,"difmin",71,1576558
2,2,2,2,2.5,2017,3,"difmin",73,1578117
2,1,1,1,2.5,2017,3,"difmin",73,1584957
4,4,4,2,2.5,2017,3,"difmin",67,1590448
3,2,2,0,2,2017,3,"difmin",74,1591636
3,3,3,1,2.5,2017,3,"difmin",73,1750897
4,3,2,1,2.5,2017,3,"difmin",75,1787658
3,2,0,0,1.5,2017,3,"difmin",72,1788190
2,1,1,1,2.5,2017,3,"difmin",72,1793705
3,2,2,1,2.5,2017,3,"difmin",72,1800413
