"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
0,0,0,0,0.5,2016,1,"difmin",16,865447
0,0,0,0,0.5,2016,1,"difmin",23,876304
3,1,0,0,1.5,2016,1,"difmin",68,877219
1,1,0,0,1.5,2016,1,"difmin",21,879606
1,1,0,0,1.5,2016,1,"difmin",71,1576558
4,2,0,0,1.5,2016,1,"difmin",73,1578117
0,0,0,0,0.5,2016,1,"difmin",73,1584957
0,0,0,0,0.5,2016,1,"difmin",67,1590448
1,0,0,0,1,2016,1,"difmin",74,1591636
1,0,0,0,1,2016,1,"difmin",73,1750897
2,0,0,0,1,2016,1,"difmin",75,1787658
1,1,0,0,1.5,2016,1,"difmin",72,1788190
2,1,0,0,1.5,2016,1,"difmin",72,1793705
0,0,0,0,0.5,2016,1,"difmin",72,1800413
