"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
1,0,0,0,1,2017,2,"mut_high",16,865447
0,0,0,0,0.5,2017,2,"mut_high",9,876228
1,1,0,0,1.5,2017,2,"mut_high",9,876229
2,2,1,1,2.5,2017,2,"mut_high",23,876304
2,1,1,1,2.5,2017,2,"mut_high",68,877219
0,0,0,0,0.5,2017,2,"mut_high",9,877724
3,1,0,0,1.5,2017,2,"mut_high",21,879606
0,0,0,0,0.5,2017,2,"mut_high",6,879844
5,4,2,0,2,2017,2,"mut_high",71,1576558
0,0,0,0,0.5,2017,2,"mut_high",73,1578117
2,1,1,0,2,2017,2,"mut_high",73,1584957
4,4,3,1,2.5,2017,2,"mut_high",67,1590448
4,2,0,0,1.5,2017,2,"mut_high",74,1591636
2,1,1,1,2.5,2017,2,"mut_high",73,1750897
3,2,2,1,2.5,2017,2,"mut_high",75,1787658
4,1,1,1,2.5,2017,2,"mut_high",72,1788190
1,1,1,1,2.5,2017,2,"mut_high",72,1793705
5,2,2,1,2.5,2017,2,"mut_high",72,1800413
