"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
0,0,0,0,0.5,2017,1,"mut_low",16,865447
1,0,0,0,1,2017,1,"mut_low",9,876228
1,0,0,0,1,2017,1,"mut_low",9,876229
1,0,0,0,1,2017,1,"mut_low",23,876304
6,5,2,1,2.5,2017,1,"mut_low",68,877219
1,1,0,0,1.5,2017,1,"mut_low",9,877724
0,0,0,0,0.5,2017,1,"mut_low",21,879606
0,0,0,0,0.5,2017,1,"mut_low",6,879844
7,5,1,0,2,2017,1,"mut_low",71,1576558
1,0,0,0,1,2017,1,"mut_low",73,1578117
7,4,1,0,2,2017,1,"mut_low",73,1584957
3,0,0,0,1,2017,1,"mut_low",67,1590448
6,1,0,0,1.5,2017,1,"mut_low",74,1591636
5,1,0,0,1.5,2017,1,"mut_low",73,1750897
3,2,1,0,2,2017,1,"mut_low",75,1787658
7,4,2,1,2.5,2017,1,"mut_low",72,1788190
4,3,1,1,2.5,2017,1,"mut_low",72,1793705
4,2,1,0,2,2017,1,"mut_low",72,1800413
