"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel"
2,0,0,0,1,2016,3,"mut_low",16,865447
0,0,0,0,0.5,2016,3,"mut_low",23,876304
4,4,2,0,2,2016,3,"mut_low",68,877219
1,0,0,0,1,2016,3,"mut_low",21,879606
2,1,1,1,2.5,2016,3,"mut_low",71,1576558
2,0,0,0,1,2016,3,"mut_low",73,1578117
1,1,1,1,2.5,2016,3,"mut_low",73,1584957
2,1,1,1,2.5,2016,3,"mut_low",67,1590448
3,1,0,0,1.5,2016,3,"mut_low",74,1591636
2,1,1,1,2.5,2016,3,"mut_low",73,1750897
1,1,0,0,1.5,2016,3,"mut_low",75,1787658
3,2,1,1,2.5,2016,3,"mut_low",72,1788190
1,1,1,1,2.5,2016,3,"mut_low",72,1793705
3,2,2,0,2,2016,3,"mut_low",72,1800413
