"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel","mutlike"
4,2,2,1,2.5,2017,2,"difmax",73,1750897,5
3,1,1,1,2.5,2017,2,"difmax",75,1787658,2.5
4,2,1,0,2,2017,2,"difmax",72,1788190,4
1,1,1,1,2.5,2017,2,"difmax",72,1793705,2.5
3,2,1,1,2.5,2017,2,"difmax",72,1800413,5
0,0,0,0,0.5,2017,3,"difmax",16,865447,0
1,0,0,0,1,2017,3,"difmax",9,876228,0
1,0,0,0,1,2017,3,"difmax",9,876229,0
2,0,0,0,1,2017,3,"difmax",23,876304,0
4,4,1,1,2.5,2017,3,"difmax",68,877219,10
1,1,0,0,1.5,2017,3,"difmax",9,877724,1.5
1,0,0,0,1,2017,3,"difmax",21,879606,0
1,0,0,0,1,2017,3,"difmax",6,879844,0
6,3,2,1,2.5,2017,3,"difmax",71,1576558,7.5
0,0,0,0,0.5,2017,3,"difmax",73,1578117,0
6,2,1,1,2.5,2017,3,"difmax",73,1584957,5
4,3,1,0,2,2017,3,"difmax",67,1590448,6
3,3,2,0,2,2017,3,"difmax",74,1591636,6
5,1,1,1,2.5,2017,3,"difmax",73,1750897,2.5
4,2,2,2,2.5,2017,3,"difmax",75,1787658,5
7,4,2,2,2.5,2017,3,"difmax",72,1788190,10
5,1,1,0,2,2017,3,"difmax",72,1793705,2
4,2,2,0,2,2017,3,"difmax",72,1800413,4
0,0,0,0,0.5,2015,1,"difmin",68,877219,0
0,0,0,0,0.5,2015,1,"difmin",71,1576558,0
2,2,0,0,1.5,2015,1,"difmin",73,1578117,3
0,0,0,0,0.5,2015,1,"difmin",73,1584957,0
0,0,0,0,0.5,2015,1,"difmin",67,1590448,0
0,0,0,0,0.5,2015,1,"difmin",74,1591636,0
1,0,0,0,1,2015,1,"difmin",73,1750897,0
2,1,0,0,1.5,2015,1,"difmin",75,1787658,1.5
0,0,0,0,0.5,2015,1,"difmin",72,1788190,0
0,0,0,0,0.5,2015,1,"difmin",72,1793705,0
1,0,0,0,1,2015,1,"difmin",72,1800413,0
0,0,0,0,0.5,2015,2,"difmin",68,877219,0
0,0,0,0,0.5,2015,2,"difmin",71,1576558,0
0,0,0,0,0.5,2015,2,"difmin",73,1578117,0
0,0,0,0,0.5,2015,2,"difmin",73,1584957,0
0,0,0,0,0.5,2015,2,"difmin",67,1590448,0
0,0,0,0,0.5,2015,2,"difmin",74,1591636,0
0,0,0,0,0.5,2015,2,"difmin",73,1750897,0
1,0,0,0,1,2015,2,"difmin",75,1787658,0
0,0,0,0,0.5,2015,2,"difmin",72,1788190,0
0,0,0,0,0.5,2015,2,"difmin",72,1793705,0
0,0,0,0,0.5,2015,2,"difmin",72,1800413,0
2,1,0,0,1.5,2015,3,"difmin",68,877219,1.5
1,1,1,0,2,2015,3,"difmin",71,1576558,2
1,0,0,0,1,2015,3,"difmin",73,1578117,0
1,0,0,0,1,2015,3,"difmin",73,1584957,0
1,1,0,0,1.5,2015,3,"difmin",67,1590448,1.5
0,0,0,0,0.5,2015,3,"difmin",74,1591636,0
0,0,0,0,0.5,2015,3,"difmin",73,1750897,0
1,0,0,0,1,2015,3,"difmin",75,1787658,0
1,0,0,0,1,2015,3,"difmin",72,1788190,0
2,1,1,1,2.5,2015,3,"difmin",72,1793705,2.5
0,0,0,0,0.5,2015,3,"difmin",72,1800413,0
0,0,0,0,0.5,2016,1,"difmin",16,865447,0
0,0,0,0,0.5,2016,1,"difmin",23,876304,0
3,1,0,0,1.5,2016,1,"difmin",68,877219,1.5
1,1,0,0,1.5,2016,1,"difmin",21,879606,1.5
1,1,0,0,1.5,2016,1,"difmin",71,1576558,1.5
4,2,0,0,1.5,2016,1,"difmin",73,1578117,3
0,0,0,0,0.5,2016,1,"difmin",73,1584957,0
0,0,0,0,0.5,2016,1,"difmin",67,1590448,0
1,0,0,0,1,2016,1,"difmin",74,1591636,0
1,0,0,0,1,2016,1,"difmin",73,1750897,0
2,0,0,0,1,2016,1,"difmin",75,1787658,0
1,1,0,0,1.5,2016,1,"difmin",72,1788190,1.5
2,1,0,0,1.5,2016,1,"difmin",72,1793705,1.5
0,0,0,0,0.5,2016,1,"difmin",72,1800413,0
1,1,0,0,1.5,2016,2,"difmin",16,865447,1.5
0,0,0,0,0.5,2016,2,"difmin",23,876304,0
1,1,0,0,1.5,2016,2,"difmin",68,877219,1.5
1,0,0,0,1,2016,2,"difmin",21,879606,0
3,3,2,1,2.5,2016,2,"difmin",71,1576558,7.5
2,1,0,0,1.5,2016,2,"difmin",73,1578117,1.5
0,0,0,0,0.5,2016,2,"difmin",73,1584957,0
1,0,0,0,1,2016,2,"difmin",67,1590448,0
1,1,0,0,1.5,2016,2,"difmin",74,1591636,1.5
1,1,1,0,2,2016,2,"difmin",73,1750897,2
2,1,1,0,2,2016,2,"difmin",75,1787658,2
0,0,0,0,0.5,2016,2,"difmin",72,1788190,0
1,1,1,1,2.5,2016,2,"difmin",72,1793705,2.5
0,0,0,0,0.5,2016,2,"difmin",72,1800413,0
1,1,1,0,2,2016,3,"difmin",16,865447,2
0,0,0,0,0.5,2016,3,"difmin",23,876304,0
3,2,1,1,2.5,2016,3,"difmin",68,877219,5
0,0,0,0,0.5,2016,3,"difmin",21,879606,0
2,1,1,1,2.5,2016,3,"difmin",71,1576558,2.5
0,0,0,0,0.5,2016,3,"difmin",73,1578117,0
2,1,1,0,2,2016,3,"difmin",73,1584957,2
0,0,0,0,0.5,2016,3,"difmin",67,1590448,0
1,0,0,0,1,2016,3,"difmin",74,1591636,0
2,2,0,0,1.5,2016,3,"difmin",73,1750897,3
2,1,0,0,1.5,2016,3,"difmin",75,1787658,1.5
1,1,1,1,2.5,2016,3,"difmin",72,1788190,2.5
2,0,0,0,1,2016,3,"difmin",72,1793705,0
2,1,1,1,2.5,2016,3,"difmin",72,1800413,2.5
0,0,0,0,0.5,2017,1,"difmin",16,865447,0
1,0,0,0,1,2017,1,"difmin",9,876228,0
0,0,0,0,0.5,2017,1,"difmin",9,876229,0
2,0,0,0,1,2017,1,"difmin",23,876304,0
5,5,3,0,2,2017,1,"difmin",68,877219,10
1,1,0,0,1.5,2017,1,"difmin",9,877724,1.5
0,0,0,0,0.5,2017,1,"difmin",21,879606,0
0,0,0,0,0.5,2017,1,"difmin",6,879844,0
7,5,1,0,2,2017,1,"difmin",71,1576558,10
0,0,0,0,0.5,2017,1,"difmin",73,1578117,0
6,2,1,1,2.5,2017,1,"difmin",73,1584957,5
6,3,1,0,2,2017,1,"difmin",67,1590448,6
4,1,1,1,2.5,2017,1,"difmin",74,1591636,2.5
6,1,0,0,1.5,2017,1,"difmin",73,1750897,1.5
2,0,0,0,1,2017,1,"difmin",75,1787658,0
6,5,2,0,2,2017,1,"difmin",72,1788190,10
4,3,2,1,2.5,2017,1,"difmin",72,1793705,7.5
5,3,0,0,1.5,2017,1,"difmin",72,1800413,4.5
1,1,0,0,1.5,2017,2,"difmin",16,865447,1.5
1,0,0,0,1,2017,2,"difmin",9,876228,0
1,0,0,0,1,2017,2,"difmin",9,876229,0
1,0,0,0,1,2017,2,"difmin",23,876304,0
3,3,2,1,2.5,2017,2,"difmin",68,877219,7.5
1,0,0,0,1,2017,2,"difmin",9,877724,0
0,0,0,0,0.5,2017,2,"difmin",21,879606,0
0,0,0,0,0.5,2017,2,"difmin",6,879844,0
4,0,0,0,1,2017,2,"difmin",71,1576558,0
3,0,0,0,1,2017,2,"difmin",73,1578117,0
4,4,1,1,2.5,2017,2,"difmin",73,1584957,10
4,2,1,0,2,2017,2,"difmin",67,1590448,4
6,3,1,0,2,2017,2,"difmin",74,1591636,6
7,1,1,0,2,2017,2,"difmin",73,1750897,2
1,1,0,0,1.5,2017,2,"difmin",75,1787658,1.5
5,5,2,0,2,2017,2,"difmin",72,1788190,10
3,1,1,0,2,2017,2,"difmin",72,1793705,2
7,3,2,0,2,2017,2,"difmin",72,1800413,6
0,0,0,0,0.5,2017,3,"difmin",16,865447,0
1,1,0,0,1.5,2017,3,"difmin",9,876228,1.5
0,0,0,0,0.5,2017,3,"difmin",9,876229,0
3,1,0,0,1.5,2017,3,"difmin",23,876304,1.5
1,0,0,0,1,2017,3,"difmin",68,877219,0
1,0,0,0,1,2017,3,"difmin",9,877724,0
3,0,0,0,1,2017,3,"difmin",21,879606,0
0,0,0,0,0.5,2017,3,"difmin",6,879844,0
2,1,1,1,2.5,2017,3,"difmin",71,1576558,2.5
2,2,2,2,2.5,2017,3,"difmin",73,1578117,5
2,1,1,1,2.5,2017,3,"difmin",73,1584957,2.5
4,4,4,2,2.5,2017,3,"difmin",67,1590448,10
3,2,2,0,2,2017,3,"difmin",74,1591636,4
3,3,3,1,2.5,2017,3,"difmin",73,1750897,7.5
4,3,2,1,2.5,2017,3,"difmin",75,1787658,7.5
3,2,0,0,1.5,2017,3,"difmin",72,1788190,3
2,1,1,1,2.5,2017,3,"difmin",72,1793705,2.5
3,2,2,1,2.5,2017,3,"difmin",72,1800413,5
2,1,1,1,2.5,2015,1,"max90",68,877219,2.5
0,0,0,0,0.5,2015,1,"max90",71,1576558,0
0,0,0,0,0.5,2015,1,"max90",73,1578117,0
0,0,0,0,0.5,2015,1,"max90",73,1584957,0
0,0,0,0,0.5,2015,1,"max90",67,1590448,0
0,0,0,0,0.5,2015,1,"max90",74,1591636,0
0,0,0,0,0.5,2015,1,"max90",73,1750897,0
0,0,0,0,0.5,2015,1,"max90",75,1787658,0
0,0,0,0,0.5,2015,1,"max90",72,1788190,0
1,1,0,0,1.5,2015,1,"max90",72,1793705,1.5
0,0,0,0,0.5,2015,1,"max90",72,1800413,0
2,1,1,1,2.5,2015,2,"max90",68,877219,2.5
0,0,0,0,0.5,2015,2,"max90",71,1576558,0
0,0,0,0,0.5,2015,2,"max90",73,1578117,0
3,0,0,0,1,2015,2,"max90",73,1584957,0
3,2,0,0,1.5,2015,2,"max90",67,1590448,3
1,1,0,0,1.5,2015,2,"max90",74,1591636,1.5
0,0,0,0,0.5,2015,2,"max90",73,1750897,0
0,0,0,0,0.5,2015,2,"max90",75,1787658,0
1,0,0,0,1,2015,2,"max90",72,1788190,0
0,0,0,0,0.5,2015,2,"max90",72,1793705,0
1,0,0,0,1,2015,2,"max90",72,1800413,0
1,1,1,1,2.5,2015,3,"max90",68,877219,2.5
0,0,0,0,0.5,2015,3,"max90",71,1576558,0
