"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel","mutlike"
0,0,0,0,0.5,2017,1,"min10",21,879606,0
0,0,0,0,0.5,2017,1,"min10",6,879844,0
5,1,1,0,2,2017,1,"min10",71,1576558,2
1,1,0,0,1.5,2017,1,"min10",73,1578117,1.5
6,4,1,1,2.5,2017,1,"min10",73,1584957,10
0,0,0,0,0.5,2017,1,"min10",67,1590448,0
3,1,0,0,1.5,2017,1,"min10",74,1591636,1.5
3,3,1,0,2,2017,1,"min10",73,1750897,6
3,2,1,1,2.5,2017,1,"min10",75,1787658,5
4,3,1,0,2,2017,1,"min10",72,1788190,6
0,0,0,0,0.5,2017,1,"min10",72,1793705,0
2,1,1,1,2.5,2017,1,"min10",72,1800413,2.5
1,1,1,0,2,2017,2,"min10",16,865447,2
0,0,0,0,0.5,2017,2,"min10",9,876228,0
1,0,0,0,1,2017,2,"min10",9,876229,0
3,0,0,0,1,2017,2,"min10",23,876304,0
3,1,1,1,2.5,2017,2,"min10",68,877219,2.5
1,0,0,0,1,2017,2,"min10",9,877724,0
0,0,0,0,0.5,2017,2,"min10",21,879606,0
0,0,0,0,0.5,2017,2,"min10",6,879844,0
6,4,0,0,1.5,2017,2,"min10",71,1576558,6
3,2,2,0,2,2017,2,"min10",73,1578117,4
5,0,0,0,1,2017,2,"min10",73,1584957,0
2,0,0,0,1,2017,2,"min10",67,1590448,0
4,3,2,1,2.5,2017,2,"min10",74,1591636,7.5
5,1,0,0,1.5,2017,2,"min10",73,1750897,1.5
4,2,0,0,1.5,2017,2,"min10",75,1787658,3
6,4,2,2,2.5,2017,2,"min10",72,1788190,10
5,2,1,0,2,2017,2,"min10",72,1793705,4
3,2,1,1,2.5,2017,2,"min10",72,1800413,5
0,0,0,0,0.5,2017,3,"min10",16,865447,0
1,1,0,0,1.5,2017,3,"min10",9,876228,1.5
1,1,0,0,1.5,2017,3,"min10",9,876229,1.5
1,1,1,1,2.5,2017,3,"min10",23,876304,2.5
1,0,0,0,1,2017,3,"min10",68,877219,0
1,1,0,0,1.5,2017,3,"min10",9,877724,1.5
2,0,0,0,1,2017,3,"min10",21,879606,0
1,0,0,0,1,2017,3,"min10",6,879844,0
1,1,1,1,2.5,2017,3,"min10",71,1576558,2.5
4,2,1,0,2,2017,3,"min10",73,1578117,4
2,2,2,2,2.5,2017,3,"min10",73,1584957,5
2,0,0,0,1,2017,3,"min10",67,1590448,0
5,3,1,0,2,2017,3,"min10",74,1591636,6
3,2,0,0,1.5,2017,3,"min10",73,1750897,3
4,4,2,1,2.5,2017,3,"min10",75,1787658,10
2,1,0,0,1.5,2017,3,"min10",72,1788190,1.5
2,2,1,0,2,2017,3,"min10",72,1793705,4
4,2,1,1,2.5,2017,3,"min10",72,1800413,5
2,2,1,1,2.5,2015,1,"mut_high",68,877219,5
0,0,0,0,0.5,2015,1,"mut_high",71,1576558,0
0,0,0,0,0.5,2015,1,"mut_high",73,1578117,0
0,0,0,0,0.5,2015,1,"mut_high",73,1584957,0
0,0,0,0,0.5,2015,1,"mut_high",67,1590448,0
1,0,0,0,1,2015,1,"mut_high",74,1591636,0
0,0,0,0,0.5,2015,1,"mut_high",73,1750897,0
0,0,0,0,0.5,2015,1,"mut_high",75,1787658,0
0,0,0,0,0.5,2015,1,"mut_high",72,1788190,0
1,0,0,0,1,2015,1,"mut_high",72,1793705,0
1,0,0,0,1,2015,1,"mut_high",72,1800413,0
2,1,1,0,2,2015,2,"mut_high",68,877219,2
0,0,0,0,0.5,2015,2,"mut_high",71,1576558,0
0,0,0,0,0.5,2015,2,"mut_high",73,1578117,0
0,0,0,0,0.5,2015,2,"mut_high",73,1584957,0
2,1,0,0,1.5,2015,2,"mut_high",67,1590448,1.5
2,1,1,0,2,2015,2,"mut_high",74,1591636,2
0,0,0,0,0.5,2015,2,"mut_high",73,1750897,0
0,0,0,0,0.5,2015,2,"mut_high",75,1787658,0
0,0,0,0,0.5,2015,2,"mut_high",72,1788190,0
0,0,0,0,0.5,2015,2,"mut_high",72,1793705,0
0,0,0,0,0.5,2015,2,"mut_high",72,1800413,0
1,1,1,1,2.5,2015,3,"mut_high",68,877219,2.5
0,0,0,0,0.5,2015,3,"mut_high",71,1576558,0
1,0,0,0,1,2015,3,"mut_high",73,1578117,0
0,0,0,0,0.5,2015,3,"mut_high",73,1584957,0
0,0,0,0,0.5,2015,3,"mut_high",67,1590448,0
1,1,0,0,1.5,2015,3,"mut_high",74,1591636,1.5
1,0,0,0,1,2015,3,"mut_high",73,1750897,0
0,0,0,0,0.5,2015,3,"mut_high",75,1787658,0
1,1,0,0,1.5,2015,3,"mut_high",72,1788190,1.5
1,1,0,0,1.5,2015,3,"mut_high",72,1793705,1.5
3,2,0,0,1.5,2015,3,"mut_high",72,1800413,3
0,0,0,0,0.5,2016,1,"mut_high",16,865447,0
1,1,1,1,2.5,2016,1,"mut_high",23,876304,2.5
1,1,1,1,2.5,2016,1,"mut_high",68,877219,2.5
0,0,0,0,0.5,2016,1,"mut_high",21,879606,0
3,3,3,2,2.5,2016,1,"mut_high",71,1576558,7.5
3,2,1,1,2.5,2016,1,"mut_high",73,1578117,5
1,1,1,1,2.5,2016,1,"mut_high",73,1584957,2.5
2,2,2,2,2.5,2016,1,"mut_high",67,1590448,5
3,3,3,3,2.5,2016,1,"mut_high",74,1591636,7.5
1,1,1,1,2.5,2016,1,"mut_high",73,1750897,2.5
1,1,1,1,2.5,2016,1,"mut_high",75,1787658,2.5
2,1,1,1,2.5,2016,1,"mut_high",72,1788190,2.5
5,2,2,2,2.5,2016,1,"mut_high",72,1793705,5
3,2,1,1,2.5,2016,1,"mut_high",72,1800413,5
1,0,0,0,1,2016,2,"mut_high",16,865447,0
0,0,0,0,0.5,2016,2,"mut_high",23,876304,0
2,2,2,1,2.5,2016,2,"mut_high",68,877219,5
0,0,0,0,0.5,2016,2,"mut_high",21,879606,0
2,1,1,1,2.5,2016,2,"mut_high",71,1576558,2.5
2,2,2,1,2.5,2016,2,"mut_high",73,1578117,5
5,3,1,1,2.5,2016,2,"mut_high",73,1584957,7.5
1,1,0,0,1.5,2016,2,"mut_high",67,1590448,1.5
2,1,1,1,2.5,2016,2,"mut_high",74,1591636,2.5
4,2,1,0,2,2016,2,"mut_high",73,1750897,4
2,1,1,1,2.5,2016,2,"mut_high",75,1787658,2.5
2,1,0,0,1.5,2016,2,"mut_high",72,1788190,1.5
6,3,3,1,2.5,2016,2,"mut_high",72,1793705,7.5
3,1,0,0,1.5,2016,2,"mut_high",72,1800413,1.5
1,0,0,0,1,2016,3,"mut_high",16,865447,0
0,0,0,0,0.5,2016,3,"mut_high",23,876304,0
0,0,0,0,0.5,2016,3,"mut_high",68,877219,0
2,2,1,0,2,2016,3,"mut_high",21,879606,4
3,1,0,0,1.5,2016,3,"mut_high",71,1576558,1.5
2,2,1,1,2.5,2016,3,"mut_high",73,1578117,5
0,0,0,0,0.5,2016,3,"mut_high",73,1584957,0
3,2,2,2,2.5,2016,3,"mut_high",67,1590448,5
2,1,0,0,1.5,2016,3,"mut_high",74,1591636,1.5
3,0,0,0,1,2016,3,"mut_high",73,1750897,0
1,0,0,0,1,2016,3,"mut_high",75,1787658,0
0,0,0,0,0.5,2016,3,"mut_high",72,1788190,0
2,1,0,0,1.5,2016,3,"mut_high",72,1793705,1.5
0,0,0,0,0.5,2016,3,"mut_high",72,1800413,0
1,1,0,0,1.5,2017,1,"mut_high",16,865447,1.5
0,0,0,0,0.5,2017,1,"mut_high",9,876228,0
1,1,0,0,1.5,2017,1,"mut_high",9,876229,1.5
0,0,0,0,0.5,2017,1,"mut_high",23,876304,0
0,0,0,0,0.5,2017,1,"mut_high",68,877219,0
1,0,0,0,1,2017,1,"mut_high",9,877724,0
2,2,1,0,2,2017,1,"mut_high",21,879606,4
0,0,0,0,0.5,2017,1,"mut_high",6,879844,0
2,2,1,0,2,2017,1,"mut_high",71,1576558,4
0,0,0,0,0.5,2017,1,"mut_high",73,1578117,0
2,2,2,2,2.5,2017,1,"mut_high",73,1584957,5
0,0,0,0,0.5,2017,1,"mut_high",67,1590448,0
1,1,1,1,2.5,2017,1,"mut_high",74,1591636,2.5
0,0,0,0,0.5,2017,1,"mut_high",73,1750897,0
1,1,0,0,1.5,2017,1,"mut_high",75,1787658,1.5
1,1,0,0,1.5,2017,1,"mut_high",72,1788190,1.5
0,0,0,0,0.5,2017,1,"mut_high",72,1793705,0
1,0,0,0,1,2017,1,"mut_high",72,1800413,0
1,0,0,0,1,2017,2,"mut_high",16,865447,0
0,0,0,0,0.5,2017,2,"mut_high",9,876228,0
1,1,0,0,1.5,2017,2,"mut_high",9,876229,1.5
2,2,1,1,2.5,2017,2,"mut_high",23,876304,5
2,1,1,1,2.5,2017,2,"mut_high",68,877219,2.5
0,0,0,0,0.5,2017,2,"mut_high",9,877724,0
3,1,0,0,1.5,2017,2,"mut_high",21,879606,1.5
0,0,0,0,0.5,2017,2,"mut_high",6,879844,0
5,4,2,0,2,2017,2,"mut_high",71,1576558,8
0,0,0,0,0.5,2017,2,"mut_high",73,1578117,0
2,1,1,0,2,2017,2,"mut_high",73,1584957,2
4,4,3,1,2.5,2017,2,"mut_high",67,1590448,10
4,2,0,0,1.5,2017,2,"mut_high",74,1591636,3
2,1,1,1,2.5,2017,2,"mut_high",73,1750897,2.5
3,2,2,1,2.5,2017,2,"mut_high",75,1787658,5
4,1,1,1,2.5,2017,2,"mut_high",72,1788190,2.5
1,1,1,1,2.5,2017,2,"mut_high",72,1793705,2.5
5,2,2,1,2.5,2017,2,"mut_high",72,1800413,5
1,1,1,0,2,2017,3,"mut_high",16,865447,2
1,0,0,0,1,2017,3,"mut_high",9,876228,0
1,0,0,0,1,2017,3,"mut_high",9,876229,0
0,0,0,0,0.5,2017,3,"mut_high",23,876304,0
1,1,0,0,1.5,2017,3,"mut_high",68,877219,1.5
1,0,0,0,1,2017,3,"mut_high",9,877724,0
0,0,0,0,0.5,2017,3,"mut_high",21,879606,0
1,0,0,0,1,2017,3,"mut_high",6,879844,0
1,1,1,1,2.5,2017,3,"mut_high",71,1576558,2.5
0,0,0,0,0.5,2017,3,"mut_high",73,1578117,0
1,1,0,0,1.5,2017,3,"mut_high",73,1584957,1.5
1,0,0,0,1,2017,3,"mut_high",67,1590448,0
3,1,1,1,2.5,2017,3,"mut_high",74,1591636,2.5
2,1,1,1,2.5,2017,3,"mut_high",73,1750897,2.5
2,2,2,2,2.5,2017,3,"mut_high",75,1787658,5
7,5,1,1,2.5,2017,3,"mut_high",72,1788190,12.5
3,1,0,0,1.5,2017,3,"mut_high",72,1793705,1.5
2,2,1,1,2.5,2017,3,"mut_high",72,1800413,5
0,0,0,0,0.5,2015,1,"mut_low",68,877219,0
0,0,0,0,0.5,2015,1,"mut_low",71,1576558,0
2,0,0,0,1,2015,1,"mut_low",73,1578117,0
0,0,0,0,0.5,2015,1,"mut_low",73,1584957,0
1,0,0,0,1,2015,1,"mut_low",67,1590448,0
0,0,0,0,0.5,2015,1,"mut_low",74,1591636,0
1,1,1,1,2.5,2015,1,"mut_low",73,1750897,2.5
1,1,0,0,1.5,2015,1,"mut_low",75,1787658,1.5
1,0,0,0,1,2015,1,"mut_low",72,1788190,0
0,0,0,0,0.5,2015,1,"mut_low",72,1793705,0
3,1,0,0,1.5,2015,1,"mut_low",72,1800413,1.5
0,0,0,0,0.5,2015,2,"mut_low",68,877219,0
0,0,0,0,0.5,2015,2,"mut_low",71,1576558,0
0,0,0,0,0.5,2015,2,"mut_low",73,1578117,0
1,0,0,0,1,2015,2,"mut_low",73,1584957,0
0,0,0,0,0.5,2015,2,"mut_low",67,1590448,0
0,0,0,0,0.5,2015,2,"mut_low",74,1591636,0
0,0,0,0,0.5,2015,2,"mut_low",73,1750897,0
1,1,1,0,2,2015,2,"mut_low",75,1787658,2
0,0,0,0,0.5,2015,2,"mut_low",72,1788190,0
0,0,0,0,0.5,2015,2,"mut_low",72,1793705,0
0,0,0,0,0.5,2015,2,"mut_low",72,1800413,0
1,1,1,1,2.5,2015,3,"mut_low",68,877219,2.5
0,0,0,0,0.5,2015,3,"mut_low",71,1576558,0
2,1,0,0,1.5,2015,3,"mut_low",73,1578117,1.5
0,0,0,0,0.5,2015,3,"mut_low",73,1584957,0
1,1,1,0,2,2015,3,"mut_low",67,1590448,2
1,1,0,0,1.5,2015,3,"mut_low",74,1591636,1.5
0,0,0,0,0.5,2015,3,"mut_low",73,1750897,0
0,0,0,0,0.5,2015,3,"mut_low",75,1787658,0
0,0,0,0,0.5,2015,3,"mut_low",72,1788190,0
2,2,2,1,2.5,2015,3,"mut_low",72,1793705,5
0,0,0,0,0.5,2015,3,"mut_low",72,1800413,0
1,1,1,0,2,2016,1,"mut_low",16,865447,2
0,0,0,0,0.5,2016,1,"mut_low",23,876304,0
3,2,0,0,1.5,2016,1,"mut_low",68,877219,3
1,1,1,1,2.5,2016,1,"mut_low",21,879606,2.5
2,1,1,1,2.5,2016,1,"mut_low",71,1576558,2.5
4,2,0,0,1.5,2016,1,"mut_low",73,1578117,3
2,0,0,0,1,2016,1,"mut_low",73,1584957,0
2,2,2,1,2.5,2016,1,"mut_low",67,1590448,5
1,1,1,0,2,2016,1,"mut_low",74,1591636,2
2,0,0,0,1,2016,1,"mut_low",73,1750897,0
3,2,0,0,1.5,2016,1,"mut_low",75,1787658,3
1,0,0,0,1,2016,1,"mut_low",72,1788190,0
3,2,2,0,2,2016,1,"mut_low",72,1793705,4
0,0,0,0,0.5,2016,1,"mut_low",72,1800413,0
1,0,0,0,1,2016,2,"mut_low",16,865447,0
0,0,0,0,0.5,2016,2,"mut_low",23,876304,0
1,1,0,0,1.5,2016,2,"mut_low",68,877219,1.5
1,1,1,0,2,2016,2,"mut_low",21,879606,2
2,1,1,1,2.5,2016,2,"mut_low",71,1576558,2.5
4,2,1,1,2.5,2016,2,"mut_low",73,1578117,5
0,0,0,0,0.5,2016,2,"mut_low",73,1584957,0
1,1,1,1,2.5,2016,2,"mut_low",67,1590448,2.5
1,0,0,0,1,2016,2,"mut_low",74,1591636,0
1,1,1,1,2.5,2016,2,"mut_low",73,1750897,2.5
2,1,1,1,2.5,2016,2,"mut_low",75,1787658,2.5
0,0,0,0,0.5,2016,2,"mut_low",72,1788190,0
1,1,1,1,2.5,2016,2,"mut_low",72,1793705,2.5
1,0,0,0,1,2016,2,"mut_low",72,1800413,0
2,0,0,0,1,2016,3,"mut_low",16,865447,0
0,0,0,0,0.5,2016,3,"mut_low",23,876304,0
4,4,2,0,2,2016,3,"mut_low",68,877219,8
1,0,0,0,1,2016,3,"mut_low",21,879606,0
2,1,1,1,2.5,2016,3,"mut_low",71,1576558,2.5
2,0,0,0,1,2016,3,"mut_low",73,1578117,0
1,1,1,1,2.5,2016,3,"mut_low",73,1584957,2.5
2,1,1,1,2.5,2016,3,"mut_low",67,1590448,2.5
3,1,0,0,1.5,2016,3,"mut_low",74,1591636,1.5
2,1,1,1,2.5,2016,3,"mut_low",73,1750897,2.5
1,1,0,0,1.5,2016,3,"mut_low",75,1787658,1.5
3,2,1,1,2.5,2016,3,"mut_low",72,1788190,5
1,1,1,1,2.5,2016,3,"mut_low",72,1793705,2.5
3,2,2,0,2,2016,3,"mut_low",72,1800413,4
0,0,0,0,0.5,2017,1,"mut_low",16,865447,0
1,0,0,0,1,2017,1,"mut_low",9,876228,0
1,0,0,0,1,2017,1,"mut_low",9,876229,0
1,0,0,0,1,2017,1,"mut_low",23,876304,0
6,5,2,1,2.5,2017,1,"mut_low",68,877219,12.5
1,1,0,0,1.5,2017,1,"mut_low",9,877724,1.5
0,0,0,0,0.5,2017,1,"mut_low",21,879606,0
0,0,0,0,0.5,2017,1,"mut_low",6,879844,0
7,5,1,0,2,2017,1,"mut_low",71,1576558,10
1,0,0,0,1,2017,1,"mut_low",73,1578117,0
7,4,1,0,2,2017,1,"mut_low",73,1584957,8
3,0,0,0,1,2017,1,"mut_low",67,1590448,0
6,1,0,0,1.5,2017,1,"mut_low",74,1591636,1.5
5,1,0,0,1.5,2017,1,"mut_low",73,1750897,1.5
3,2,1,0,2,2017,1,"mut_low",75,1787658,4
7,4,2,1,2.5,2017,1,"mut_low",72,1788190,10
4,3,1,1,2.5,2017,1,"mut_low",72,1793705,7.5
4,2,1,0,2,2017,1,"mut_low",72,1800413,4
1,0,0,0,1,2017,2,"mut_low",16,865447,0
0,0,0,0,0.5,2017,2,"mut_low",9,876228,0
1,0,0,0,1,2017,2,"mut_low",9,876229,0
2,0,0,0,1,2017,2,"mut_low",23,876304,0
3,3,2,2,2.5,2017,2,"mut_low",68,877219,7.5
1,1,0,0,1.5,2017,2,"mut_low",9,877724,1.5
0,0,0,0,0.5,2017,2,"mut_low",21,879606,0
0,0,0,0,0.5,2017,2,"mut_low",6,879844,0
7,3,0,0,1.5,2017,2,"mut_low",71,1576558,4.5
3,2,1,0,2,2017,2,"mut_low",73,1578117,4
6,3,1,1,2.5,2017,2,"mut_low",73,1584957,7.5
3,3,1,1,2.5,2017,2,"mut_low",67,1590448,7.5
4,3,3,1,2.5,2017,2,"mut_low",74,1591636,7.5
5,1,0,0,1.5,2017,2,"mut_low",73,1750897,1.5
4,0,0,0,1,2017,2,"mut_low",75,1787658,0
6,5,4,1,2.5,2017,2,"mut_low",72,1788190,12.5
4,2,1,1,2.5,2017,2,"mut_low",72,1793705,5
6,2,1,1,2.5,2017,2,"mut_low",72,1800413,5
0,0,0,0,0.5,2017,3,"mut_low",16,865447,0
1,1,0,0,1.5,2017,3,"mut_low",9,876228,1.5
1,0,0,0,1,2017,3,"mut_low",9,876229,0
2,2,1,0,2,2017,3,"mut_low",23,876304,4
2,0,0,0,1,2017,3,"mut_low",68,877219,0
1,0,0,0,1,2017,3,"mut_low",9,877724,0
1,1,0,0,1.5,2017,3,"mut_low",21,879606,1.5
1,0,0,0,1,2017,3,"mut_low",6,879844,0
2,2,1,0,2,2017,3,"mut_low",71,1576558,4
4,2,2,1,2.5,2017,3,"mut_low",73,1578117,5
2,2,1,1,2.5,2017,3,"mut_low",73,1584957,5
3,1,1,1,2.5,2017,3,"mut_low",67,1590448,2.5
6,4,0,0,1.5,2017,3,"mut_low",74,1591636,6
3,3,3,1,2.5,2017,3,"mut_low",73,1750897,7.5
4,3,3,2,2.5,2017,3,"mut_low",75,1787658,7.5
2,1,1,0,2,2017,3,"mut_low",72,1788190,2
1,1,1,1,2.5,2017,3,"mut_low",72,1793705,2.5
3,3,2,1,2.5,2017,3,"mut_low",72,1800413,7.5
