"threshold","jaar","variabelen","allvar","band","TP","FP","FN","TN"
"1","2015","1_2_3","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"1","2015","1_2_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1","2015","1_2_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"1","2015","1_2_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"1","2015","1_3_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1","2015","1_3_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"1","2015","1_3_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"1","2015","1_4_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1","2015","1_4_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1","2015","1_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"1","2015","2_3_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1","2015","2_3_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"1","2015","2_3_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"1","2015","2_4_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1","2015","2_4_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1","2015","2_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"1","2015","3_4_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1","2015","3_4_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1","2015","3_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"1","2015","4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1.5","2015","1_2_3","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"1.5","2015","1_2_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"1.5","2015","1_2_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"1.5","2015","1_2_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"1.5","2015","1_3_4","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
