"threshold","jaar","variabelen","allvar","band","TP","FP","FN","TN"
"1","2015","1_2_3_4_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1","2015","1_2_3_4_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1","2015","1_2_3_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"1","2015","1_2_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1","2015","1_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1","2015","2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1.5","2015","1_2_3_4_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1.5","2015","1_2_3_4_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1.5","2015","1_2_3_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"1.5","2015","1_2_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1.5","2015","1_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"1.5","2015","2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","1","0","0"
"2","2015","1_2_3_4_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","3","1","2","0"
"2","2015","1_2_3_4_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"2","2015","1_2_3_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","3","1","2","0"
"2","2015","1_2_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"2","2015","1_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","3","1","2","0"
"2","2015","2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","4","1","1","0"
"2.5","2015","1_2_3_4_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","1","1","4","0"
"2.5","2015","1_2_3_4_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","1","1","4","0"
"2.5","2015","1_2_3_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","2","1","3","0"
"2.5","2015","1_2_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","2","1","3","0"
"2.5","2015","1_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","2","1","3","0"
"2.5","2015","2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","2","1","3","0"
"1","2016","1_2_3_4_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1","2016","1_2_3_4_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1","2016","1_2_3_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1","2016","1_2_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1","2016","1_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1","2016","2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1.5","2016","1_2_3_4_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1.5","2016","1_2_3_4_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1.5","2016","1_2_3_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1.5","2016","1_2_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1.5","2016","1_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"1.5","2016","2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2","2016","1_2_3_4_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2","2016","1_2_3_4_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2","2016","1_2_3_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2","2016","1_2_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2","2016","1_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2","2016","2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2.5","2016","1_2_3_4_5","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","3","0","1"
"2.5","2016","1_2_3_4_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2.5","2016","1_2_3_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2.5","2016","1_2_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2.5","2016","1_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
"2.5","2016","2_3_4_5_6","mut_high mut_low difmax difmin max90 min10 perceel categorie","all","5","4","0","0"
